L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,Charge,"λlum,nm",QY,"t, μs",solvent,"λabs,nm (most right)",eps,DOI,notes,примечания
C1(C2=CC=C(C3=NC4=C(C(C=CC=C5)=C5C6=C4C=CC=C6)N3C7=CC=CC=C7)C=[C-]2)=NC=CC=C1,C1(C2=CC=C(C3=NC4=C(C(C=CC=C5)=C5C6=C4C=CC=C6)N3C7=CC=CC=C7)C=[C-]2)=NC=CC=C1,O=C([O-])c1ccccn1,,,1,0,553,"0,25","4,32",CH2Cl2,450,5000,10.3390/molecules27010232,,
C1(C2=CC=C(C3=NC4=C(C(C=CC=C5)=C5C6=C4C=CC=C6)N3C7=CC=CC=C7)C=[C-]2)=NC=CC=C1,C1(C2=CC=C(C3=NC4=C(C(C=CC=C5)=C5C6=C4C=CC=C6)N3C7=CC=CC=C7)C=[C-]2)=NC=CC=C1,c1ccc(-c2ccccn2)nc1,,FP(F)(F)(F)(F)F,2,1,570,"0,17","6,14",CH2Cl2,425,15000,10.3390/molecules27010232,,
C1(C2=CC=C(C3=NC4=C(C(C=CC=C5)=C5C6=C4C=CC=C6)N3C7=CC=CC=C7)C=[C-]2)=NC=CC=C1,C1(C2=CC=C(C3=NC4=C(C(C=CC=C5)=C5C6=C4C=CC=C6)N3C7=CC=CC=C7)C=[C-]2)=NC=CC=C1,O=C(O)C1=CC(C2=CC(C(O)=O)=CC=N2)=NC=C1,,FP(F)(F)(F)(F)F,3,1,595,"0,14","0,82",CH3OH,480,2000,10.3390/molecules27010232,,
C1(C2=CC=C(C3=NC4=C(C(C=CC=C5)=C5C6=C4C=CC=C6)N3C7=CC=CC=C7)C=[C-]2)=NC=CC=C1,C1(C2=CC=C(C3=NC4=C(C(C=CC=C5)=C5C6=C4C=CC=C6)N3C7=CC=CC=C7)C=[C-]2)=NC=CC=C1,O=S(C(C=C1)=CC=C1P(C2=CC=C(S(=O)(O[Na])=O)C=C2)C3=C(P(C4=CC=C(S(=O)(O[Na])=O)C=C4)C5=CC=C(S(=O)(O[Na])=O)C=C5)C=CC=C3)([O-])=O,,,4,0,555,"0,0435","41,87",PBS,367,27000,10.3390/molecules27010232,,
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=P(OCC)(OCC)C1=CC=NC(C2=CC(P(OCC)(OCC)=O)=CC=N2)=C1,,FP(F)(F)(F)(F)F,Ir(ppy)2bP,1,667,"0,002",,CH3OH,373,8290,10.1002/adhm.202100706,,abs in MeCN
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,O=P(OCC)(OCC)C1=CC=NC(C2=CC(P(OCC)(OCC)=O)=CC=N2)=C1,,FP(F)(F)(F)(F)F,Ir(1-pq)2bP,1,655,"0,008",,CH3OH,429,6460,10.1002/adhm.202100706,,abs in MeCN
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,O=P(OCC)(OCC)C1=CC=NC(C2=CC(P(OCC)(OCC)=O)=CC=N2)=C1,,FP(F)(F)(F)(F)F,Ir(2-pq)2bP,1,668,"0,003",,CH3OH,426,5900,10.1002/adhm.202100706,,abs in MeCN
O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,CN(C)C1=CC=NC(C2=NC=CC(N(C)C)=C2)=C1,,FP(F)(F)(F)(F)F,1,1,560,"0,2","0,4",DMSO,470,2800,10.1016/j.saa.2021.120167,,
O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,NC1=CC=NC(C2=NC=CC(N)=C2)=C1,,FP(F)(F)(F)(F)F,2,1,560,"0,18","0,42",DMSO,470,2800,10.1016/j.saa.2021.120167,,
O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,O=CC1=CC=C(C2=NC=CC=C2)[C-]=C1,CC1=CC=NC(C2=NC=CC(C)=C2)=C1,,FP(F)(F)(F)(F)F,3,1,542,"0,17","0,566",DMSO,450,3400,10.1016/j.saa.2021.120167,,
