L1,L2,L3,Counterion,Abbreviation_in_the_article,Charge,Max_wavelength(nm),PLQY,tau(s*10^-6),Solvent,DOI,Notes,PLQY_in_train
[c-]1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)ccc1-c1ccccn1,[c-]1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)ccc1-c1ccccn1,O=C([O-])c1ccccn1,,1,0,553,0.25,4.32,CH2Cl2,10.3390/molecules27010232,,1
[c-]1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)ccc1-c1ccccn1,[c-]1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)ccc1-c1ccccn1,c1ccc(-c2ccccn2)nc1,FP(F)(F)(F)(F)F,2,1,570,0.17,6.14,CH2Cl2,10.3390/molecules27010232,,1
[c-]1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)ccc1-c1ccccn1,[c-]1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)ccc1-c1ccccn1,O=C(O)c1ccnc(-c2cc(C(=O)O)ccn2)c1,FP(F)(F)(F)(F)F,3,1,595,0.14,0.82,CH3OH,10.3390/molecules27010232,,1
[c-]1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)ccc1-c1ccccn1,[c-]1cc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)ccc1-c1ccccn1,O=S(=O)([O-])c1ccc(P(c2ccc(S(=O)(=O)O[Na])cc2)c2ccccc2P(c2ccc(S(=O)(=O)O[Na])cc2)c2ccc(S(=O)(=O)O[Na])cc2)cc1,,4,0,555,0.0435,41.87,PBS,10.3390/molecules27010232,,1
[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCOP(=O)(OCC)c1ccnc(-c2cc(P(=O)(OCC)OCC)ccn2)c1,FP(F)(F)(F)(F)F,Ir(ppy)2bP,1,667,0.002,,CH3OH,10.1002/adhm.202100706,,1
[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,CCOP(=O)(OCC)c1ccnc(-c2cc(P(=O)(OCC)OCC)ccn2)c1,FP(F)(F)(F)(F)F,Ir(1-pq)2bP,1,655,0.008,,CH3OH,10.1002/adhm.202100706,,1
[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,CCOP(=O)(OCC)c1ccnc(-c2cc(P(=O)(OCC)OCC)ccn2)c1,FP(F)(F)(F)(F)F,Ir(2-pq)2bP,1,668,0.003,,CH3OH,10.1002/adhm.202100706,,1
O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,CN(C)c1ccnc(-c2cc(N(C)C)ccn2)c1,FP(F)(F)(F)(F)F,1,1,560,0.2,0.4,DMSO,10.1016/j.saa.2021.120167,,1
O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,Nc1ccnc(-c2cc(N)ccn2)c1,FP(F)(F)(F)(F)F,2,1,560,0.18,0.42,DMSO,10.1016/j.saa.2021.120167,,1
O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,Cc1ccnc(-c2cc(C)ccn2)c1,FP(F)(F)(F)(F)F,3,1,542,0.17,0.566,DMSO,10.1016/j.saa.2021.120167,,1
O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,COc1ccnc(-c2cc(OC)ccn2)c1,FP(F)(F)(F)(F)F,4,1,546,0.19,0.545,DMSO,10.1016/j.saa.2021.120167,,1
O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,OCc1ccnc(-c2cc(CO)ccn2)c1,FP(F)(F)(F)(F)F,5,1,544,0.17,0.59,DMSO,10.1016/j.saa.2021.120167,,1
O=Cc1c[c-]c(-c2ccccn2)cc1,O=Cc1c[c-]c(-c2ccccn2)cc1,CC[N+](CC)(CC)c1ccnc(-c2cc([N+](CC)(CC)CC)ccn2)c1,FP(F)(F)(F)(F)F.FP(F)(F)(F)(F)F.FP(F)(F)(F)(F)F,6,3,598,0.11,0.21,DMSO,10.1016/j.saa.2021.120167,,1
O=C(O)C1CSC(c2c[c-]c(-c3ccccn3)cc2)N1,O=C(O)C1CSC(c2c[c-]c(-c3ccccn3)cc2)N1,CN(C)c1ccnc(-c2cc(N(C)C)ccn2)c1,FP(F)(F)(F)(F)F,1hcy,1,540,0.043,0.332,DMSO,10.1016/j.saa.2021.120167,,1
O=C(O)C1CCSC(c2c[c-]c(-c3ccccn3)cc2)N1,O=C(O)C1CCSC(c2c[c-]c(-c3ccccn3)cc2)N1,CN(C)c1ccnc(-c2cc(N(C)C)ccn2)c1,FP(F)(F)(F)(F)F,1cys,1,560,0.041,0.433,DMSO,10.1016/j.saa.2021.120167,,1
FC(F)(F)c1[c-]c(-c2nccc3ccccc23)cc(C(F)(F)F)n1,FC(F)(F)c1[c-]c(-c2nccc3ccccc23)cc(C(F)(F)F)n1,Cc1cc(-c2ccccn2)[n-]n1,,Ir1,0,583,0.72,2.77,CH2Cl2,10.1016/j.dyepig.2021.109733,,1
FC(F)(F)c1[c-]c(-c2nccc3ccccc23)cc(C(F)(F)F)n1,FC(F)(F)c1[c-]c(-c2nccc3ccccc23)cc(C(F)(F)F)n1,FC(F)(F)c1cc(-c2ccccn2)[n-]n1,,Ir2,0,583,0.6,2.64,CH2Cl2,10.1016/j.dyepig.2021.109733,,1
FC(F)(F)c1[c-]c(-c2nccc3ccccc23)cc(C(F)(F)F)n1,FC(F)(F)c1[c-]c(-c2nccc3ccccc23)cc(C(F)(F)F)n1,c1ccc(-c2cc(-c3ccccn3)[n-]n2)cc1,,Ir3,0,586,0.89,2.7,CH2Cl2,10.1016/j.dyepig.2021.109733,,1
CCCCCCCCn1nc2c(-c3nccc4ccccc34)[c-]cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c2n1,CCCCCCCCn1nc2c(-c3nccc4ccccc34)[c-]cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c2n1,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(S(=O)(=O)c2ccc(-c3ccc(C(=O)[O-])nc3)cc2)cc1,,iridium (III) complex,0,714,0.113,,CH2Cl2,10.1016/j.synthmet.2021.116917,,1
Cc1c[c-]c(-c2cnc3cc(C)c(C)cc3n2)cc1C,Cc1c[c-]c(-c2cnc3cc(C)c(C)cc3n2)cc1C,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L1)2(bipy)]+,1,628,0.03,1.886,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
Cc1c[c-]c(-c2cnc3cc(F)c(F)cc3n2)cc1C,Cc1c[c-]c(-c2cnc3cc(F)c(F)cc3n2)cc1C,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L2)2(bipy)]+,1,655,0.01,0.659,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
Fc1c[c-]c(-c2cnc3ccccc3n2)cc1,Fc1c[c-]c(-c2cnc3ccccc3n2)cc1,c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F,[Ir(L5)2(bipy)]+,1,590,0.04,3.416,CH3CN,10.1021/acs.inorgchem.1c02121,measured in aerated solutions,0
