CID,SMILES,pred_lum,pred_PLQY
170403856,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cnccn1)nc2-c1[c-]c(Cl)c(F)cc1F,556,100.0
170408730,N=C(O)[C@@]12CC1Oc1c2cc([C@@](O)(CN)c2cnccn2)nc1-c1[c-]c(Cl)c(F)cc1F,558,100.0
161096749,CSc1cc(-c2[c-]cc(F)cc2F)nc(C(C)(C)c2cc(C)cc(-c3ccc(F)cc3F)n2)c1,537,100.0
59645741,[C-]#[N+]c1c(F)c[c-]c(-c2cccc(C(C)(C)c3cccc(C(c4ccccc4)(c4ccccn4)c4ccccn4)n3)n2)c1F,518,97.4
170403812,C[C@]1(C(=N)O)COc2c1cc(C(O)(CN)c1ccccn1)nc2-c1[c-]c(Cl)c(F)cc1F,528,94.6
57872849,CSc1ccnc(-c2[c-]cc(F)cc2F)c1,512,94.4
57573212,CC(C)(C)c1cc(-c2cccc(C(c3ccccn3)(c3ccccn3)c3cccc(-c4[c-]cc(F)cc4F)n3)n2)[nH]n1,520,94.0
58004344,CC(C)(c1c[c-]cc(c2cc(-c3ccccn3)c(F)c(C(F)(F)F)c2F)c1)c1ccccn1,513,91.1
162186134,[C-]#[N+]c1c(F)c[c-]c(-c2cc(C)cc(C(C)(C)c3cc(SC)cc(-c4ccc(F)c(C#N)c4F)n3)n2)c1F,556,90.2
59342192,CC(C)(c1cccc(-c2[c-]cc(F)c([N+](=O)[O-])c2F)n1)c1cccc(-c2ccc(F)c([N+](=O)[O-])c2F)n1,543,89.2
58004402,CC(C)(c1cc[c-]c(-c2cccc(-c3cc(-c4ccc(F)c(C(F)(F)F)c4F)c(F)c(C(F)(F)F)c3F)n2)c1)c1ccccn1,514,88.5
57806624,CC(C)(c1c[c-]cc(c2cc(-c3ccccn3)c(F)cc2F)c1)c1ccccn1,519,87.8
58752835,CC(C)(c1ccccn1)c1cccc(-c2[c-]cc(F)cc2F)n1,508,87.8
15754382,CSc1cc(-c2ccsc2)nc(-c2[c-]cc(F)cc2F)c1,542,87.7
169265057,COc1cc(C(O)=NC[C@@](O)(c2ccccc2)c2cc(C(O)=NC3CC3)c(F)c(-c3[c-]c(Cl)c(F)cc3F)n2)cc(C=NC2CC2)c1N,566,87.2
170408921,CCOc1c(CC(=N)O)cc([C@@](O)(CN=C(O)c2cc(OC)c3nn(C4CC4)cc3c2)c2cnccn2)nc1-c1[c-]c(Cl)c(F)cc1F,584,87.1
169234166,CCC1C=C([C@](O)(CN)c2cc3c(c(-c4[c-]c(Cl)c(F)cc4F)n2)OCC3C)C=CC=C1F,557,86.6
57923615,CC(C)(C)c1cc(-n2ccc(C(C)(C)c3cccc(-c4[c-]cc(F)cc4F)n3)n2)ccn1,533,86.5
171358188,OC(=NNC(S)=Nc1cc(Cl)cc(Cl)c1)c1cc(-c2[c-]cc(F)cc2F)nc2cc(Cl)c(F)cc12,606,86.1
168965516,CN=C(O)c1cccc(CN=C/C=C(\N)c2cc(-c3[c-]cc(F)cc3F)ncc2CN=C(C)O)c1,558,86.0
169264943,N=C(O)[C@@H]1CCC(=O)N1c1cc(-c2[c-]c(Cl)c(F)cc2F)nc([C@@](O)(CN)c2ccccc2)c1,542,85.2
121375166,CC(O)=Nc1cc(-c2[c-]cc(F)c(F)c2F)nc(OC(=O)O)c1Cl,582,84.9
58621325,CC(C)(c1cccc(-c2[c-]cc(F)c(C#N)c2F)n1)c1cccc(C(c2ccccc2)(c2ccccc2)c2ccccn2)n1,533,84.6
161239995,Cc1cccc(C)c1-c1cc(-c2[c-]cc(F)cc2F)nc(C(C)(C)c2cc(-c3c(C)cccc3C)cc(-c3ccc(Cl)cc3F)n2)c1,545,84.5
46195796,Cc1nnc([C@@H](C)N=C(O)c2cc(-c3[c-]cc(F)cc3F)nc(C(C)(C)O)c2)s1,560,83.7
170403836,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cncnc1)nc2-c1[c-]c(Cl)c(F)cc1F,555,83.7
58620943,O=C(O)c1cccc(C(CCCCc2ccccc2)(c2ccccn2)c2cccc(-c3[c-]cc(F)cc3F)n2)n1,533,83.5
59341985,CC(=O)c1c(F)c[c-]c(-c2cccc(C(C)(C)c3cccc(-c4ccc(F)c(C(C)=O)c4F)n3)n2)c1F,539,82.5
59342262,Cc1c(F)c(-c2cccc(C(C)(C)c3ccccn3)n2)[c-]c(C(C)(C)c2ccccc2)c1F,523,82.3
67420184,Nc1cc(-c2[c-]cc(F)c(F)c2F)nc(OC(=O)O)c1Cl,536,82.0
18073560,CSc1ccc2c(C(=O)O)cc(-c3[c-]cc(F)cc3F)nc2c1,590,81.9
57852318,Cn1nc(C(F)(F)F)nc1-c1cccc(C(C)(C)c2cccc(-c3[c-]cc(F)c([N+](=O)[O-])c3F)n2)n1,528,81.8
169234278,C[C@]1(COCN)COc2c1cc([C@@](O)(CN)c1cccc(S(C)(=O)=O)c1)nc2-c1[c-]c(Cl)c(F)cc1F,548,81.7
170378313,CC[C@@](O)(c1ccccc1)c1cc(N2C(=O)CC[C@H]2C(C)=O)cc(-c2[c-]c(Cl)c(F)cc2F)n1,555,81.5
68648986,Cc1c(F)c[c-]c(-c2cc(N)c(Cl)c(OC(=O)O)n2)c1F,517,81.5
170408488,COc1cc(C(O)=NC[C@@](O)(c2ccccn2)c2cc3c(c(-c4[c-]c(Cl)c(F)cc4F)n2)OC[C@]3(C)C(=N)O)cc2cn(C3CC3)nc12,559,81.5
163615392,N=C([O-])N(c1cc2cc(C(=O)N=CC=[N+]3CCOCC3)ccc2c(-c2[c-]cc(F)cc2F)n1)c1c(F)cccc1I,563,81.1
153309733,C=CC(=O)OCCCCCCCOc1ccc(-c2c(C)c(C)c(/C=C/c3ccc(/C=C/c4ccnc(-c5[c-]cc(F)cc5F)c4)cc3)c(C)c2C)cc1,560,80.9
102309553,Cc1ccc(S(=O)(=O)c2c(F)c[c-]c(-c3ccccn3)c2F)cc1,480,80.8
165455645,Nc1c(F)c[c-]c(-c2cccc(C(F)(F)F)n2)c1F,526,80.6
170378315,CC(=O)[C@@H]1CCC(=O)N1c1cc(-c2[c-]c(Cl)c(F)cc2F)nc([C@@](O)(CO)c2ccccc2)c1,567,80.6
59342246,CC(C)(c1cccc(-c2[c-]cc(F)c(Cc3ccccc3)c2F)n1)c1cccc(-c2ccc(F)c(S(=O)(=O)c3ccccc3)c2F)n1,510,80.5
169234014,Cc1[c-]c(-c2nc(C(O)(CN)c3ccncc3)cc3c2OCC3C)c(F)cc1F,552,80.3
44390402,N#Cc1cc(-c2ccc(F)cc2)c(-c2[c-]cc(F)cc2F)nc1OCc1ccc(F)c(F)c1,529,80.3
169233983,CC1COc2c1cc(C(CN)c1cnoc1)nc2-c1[c-]c(Cl)c(F)cc1F,553,80.3
58709052,CC(C)(c1cccc(Oc2cccc(-c3[c-]cc(F)cc3F)n2)c1)c1ccccn1,523,80.2
59645747,[C-]#[N+]c1ncnc2c1ncn2-c1cccc(C(C)(C)c2cccc(-c3[c-]cc(F)cc3F)n2)n1,541,80.0
81870865,Nc1ccnc(-c2[c-]cc(F)c(F)c2F)c1,502,80.0
169264946,NC[C@@](O)(c1ccccc1)c1cc(C(O)O)c(F)c(-c2[c-]c(Cl)c(F)cc2F)n1,536,80.0
15022660,CSc1cc(-c2[c-]ccc(F)c2)nc(-c2ccc(F)cc2F)c1,546,79.9
170403830,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cnc(C3CC3)nc1)nc2-c1[c-]c(Cl)c(F)cc1F,545,79.6
140151130,Nc1cc(-c2[c-]cc(F)c(F)c2F)ncc1Cl,539,79.6
67419169,Nc1cc(-c2[c-]cc(F)cc2F)nc(OC(=O)O)c1Cl,517,79.5
140151134,Cc1c(F)c[c-]c(-c2cc(N)c(Cl)cn2)c1F,517,79.4
15022645,CSc1cc(-c2[c-]cc(F)cc2F)nc(-c2ccccc2Cl)c1,541,79.4
170403853,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cnoc1)nc2-c1[c-]c(Cl)c(F)cc1F,547,79.4
71084448,Cc1c(F)c[c-]c(-c2cc(N)ccn2)c1F,485,79.3
11362542,CC(C)S(=O)(=O)NC1CCC(c2cc(-c3[c-]cc(F)cc3F)nc3[nH]cnc23)CC1,564,79.3
135945978,CSc1nc(O)c2c(n1)CCN(Cc1ccc(-c3[c-]cc(F)cc3F)nc1)C2,540,79.3
170403634,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cccc(F)n1)nc2-c1[c-]c(Cl)c(F)cc1F,547,79.1
156073304,COC[C@@]1(N)CCCN(c2cnc(-c3[c-]cc(F)cc3F)cc2Cn2cnc3c(N)ncnc32)C1,552,79.0
170299072,C[C@]1(C(=N)O)COc2c1cc([C@@](O)(CN)c1cccnc1)nc2-c1[c-]c(Cl)c(F)cc1F,546,79.0
